,size,timing,k,circles
0,10000,0.9223208427429199,15,15
1,15000,1.3145110607147217,15,16
2,20000,1.708057165145874,15,17
3,25000,2.122673988342285,15,18
4,30000,2.5040130615234375,15,19
5,35000,2.8711421489715576,15,20
6,40000,3.217306137084961,15,21
7,45000,3.638638973236084,15,22
8,50000,4.123077154159546,15,23
9,55000,4.612957000732422,15,24
10,60000,5.128145933151245,15,25
11,65000,5.590471982955933,15,26
12,70000,6.119138240814209,15,27
13,75000,6.613077878952026,15,28
14,80000,7.189481973648071,15,29
15,85000,7.832677841186523,15,30
16,90000,8.311594009399414,15,31
17,95000,8.798797130584717,15,32
18,100000,9.610520839691162,15,33
19,105000,10.024219036102295,15,34
20,110000,10.693095207214355,15,35
21,115000,11.363557815551758,15,36
22,120000,11.971867084503174,15,37
23,125000,12.961051940917969,15,38
24,130000,13.357876300811768,15,39
25,135000,13.947058200836182,15,40
26,140000,14.632193565368652,15,41
27,145000,15.333889961242676,15,42
28,150000,16.164419174194336,15,43
29,155000,16.81777000427246,15,44
30,160000,17.632506132125854,15,45
31,165000,18.35414409637451,15,46
32,170000,19.388786792755127,15,47
33,175000,20.16407799720764,15,48
34,180000,20.74302911758423,15,49
35,185000,21.4277560710907,15,50
36,190000,22.398434162139893,15,51
37,195000,23.766294956207275,15,52
38,200000,24.78416609764099,15,53
39,205000,26.259207010269165,15,54
40,210000,27.48831295967102,15,55
41,215000,28.102824926376343,15,56
42,220000,29.082771062850952,15,57
43,225000,28.982513904571533,15,58
44,230000,29.915955781936646,15,59
45,235000,30.978764057159424,15,60
46,240000,32.35374093055725,15,61
47,245000,33.5335853099823,15,62
48,250000,34.21584415435791,15,63
49,255000,35.56122398376465,15,64
50,255000,0.938636064529419,15,15
51,15000,1.3587992191314697,15,16
52,20000,1.7844412326812744,15,17
53,25000,2.0913028717041016,15,18
54,30000,2.498701810836792,15,19
55,35000,2.9539520740509033,15,20
56,40000,3.3223111629486084,15,21
57,45000,3.785485029220581,15,22
58,50000,4.518471956253052,15,23
59,55000,4.793815851211548,15,24
60,60000,5.239497900009155,15,25
61,65000,5.869276285171509,15,26
62,70000,6.3341920375823975,15,27
63,75000,6.944711923599243,15,28
64,80000,7.529239177703857,15,29
65,85000,8.00672197341919,15,30
66,90000,8.56858491897583,15,31
67,95000,9.507080316543579,15,32
68,100000,9.977431058883667,15,33
69,105000,10.618093729019165,15,34
70,110000,11.405301094055176,15,35
71,115000,11.876572132110596,15,36
72,120000,12.878824949264526,15,37
73,125000,13.45213007926941,15,38
74,130000,13.885488033294678,15,39
75,135000,14.736051797866821,15,40
76,140000,15.4493408203125,15,41
77,145000,16.14532709121704,15,42
78,150000,17.14471983909607,15,43
79,155000,17.716282844543457,15,44
80,160000,18.558634996414185,15,45
81,165000,19.572242975234985,15,46
82,170000,19.85682725906372,15,47
83,175000,21.205430030822754,15,48
84,180000,21.908037900924683,15,49
85,185000,22.685079097747803,15,50
86,190000,23.933454036712646,15,51
87,195000,24.84136700630188,15,52
88,200000,26.1855571269989,15,53
89,205000,27.362984895706177,15,54
90,210000,28.541889190673828,15,55
91,215000,29.667941093444824,15,56
92,220000,30.666947841644287,15,57
93,225000,31.751643896102905,15,58
94,230000,32.52669382095337,15,59
95,235000,32.84871482849121,15,60
96,240000,33.853245973587036,15,61
97,245000,34.83647704124451,15,62
98,250000,36.17131495475769,15,63
99,255000,37.46810531616211,15,64
100,255000,0.9317901134490967,15,15
101,15000,1.39335298538208,15,16
102,20000,1.7542059421539307,15,17
103,25000,2.1001639366149902,15,18
104,30000,2.505436897277832,15,19
105,35000,2.967484951019287,15,20
106,40000,3.5031940937042236,15,21
107,45000,3.847576856613159,15,22
108,50000,4.593628883361816,15,23
109,55000,4.8655149936676025,15,24
110,60000,5.425419092178345,15,25
111,65000,5.957013845443726,15,26
112,70000,6.40388822555542,15,27
113,75000,7.225988864898682,15,28
114,80000,7.720798015594482,15,29
115,85000,8.186108350753784,15,30
116,90000,8.799151182174683,15,31
117,95000,9.359961986541748,15,32
118,100000,10.205832958221436,15,33
119,105000,10.874643802642822,15,34
120,110000,11.648483991622925,15,35
121,115000,12.08618712425232,15,36
122,120000,12.790241718292236,15,37
123,125000,13.60694694519043,15,38
124,130000,14.014804124832153,15,39
125,135000,15.222500801086426,15,40
126,140000,16.10465097427368,15,41
127,145000,16.44906711578369,15,42
128,150000,17.83687400817871,15,43
129,155000,18.476054906845093,15,44
130,160000,19.215347290039062,15,45
131,165000,20.168808221817017,15,46
132,170000,21.100516080856323,15,47
133,175000,21.608538150787354,15,48
134,180000,22.249948978424072,15,49
135,185000,23.040868997573853,15,50
136,190000,24.187257051467896,15,51
137,195000,25.193315029144287,15,52
138,200000,26.104814052581787,15,53
139,205000,26.94965410232544,15,54
140,210000,27.847006797790527,15,55
141,215000,28.99052906036377,15,56
142,220000,29.466157913208008,15,57
143,225000,30.625308990478516,15,58
144,230000,32.03256607055664,15,59
145,235000,33.01876473426819,15,60
146,240000,34.53530025482178,15,61
147,245000,35.12568378448486,15,62
148,250000,35.674222230911255,15,63
149,255000,36.60699987411499,15,64
150,255000,0.9655487537384033,15,15
151,15000,1.4241681098937988,15,16
152,20000,1.801016092300415,15,17
153,25000,2.1389377117156982,15,18
154,30000,2.541171073913574,15,19
155,35000,2.8965060710906982,15,20
156,40000,3.4107439517974854,15,21
157,45000,3.8449299335479736,15,22
158,50000,4.5758020877838135,15,23
159,55000,5.014013051986694,15,24
160,60000,5.392695903778076,15,25
161,65000,5.854696035385132,15,26
162,70000,6.382724046707153,15,27
163,75000,7.046595096588135,15,28
164,80000,7.569838047027588,15,29
165,85000,8.159653902053833,15,30
166,90000,8.637016773223877,15,31
167,95000,9.337791919708252,15,32
168,100000,10.106350898742676,15,33
169,105000,11.041859865188599,15,34
170,110000,11.564533948898315,15,35
171,115000,12.210696935653687,15,36
172,120000,12.843292951583862,15,37
173,125000,13.706829071044922,15,38
174,130000,14.339823246002197,15,39
175,135000,15.1722891330719,15,40
176,140000,16.042744159698486,15,41
