,size,timing,k,circles
0,10000,0.30019092559814453,5,5
1,15000,0.4312613010406494,5,6
2,20000,0.547325849533081,5,7
3,25000,0.6614480018615723,5,8
4,30000,0.808283805847168,5,9
5,35000,0.97200608253479,5,10
6,40000,1.1118910312652588,5,11
7,45000,1.2766952514648438,5,12
8,50000,1.4162721633911133,5,13
9,55000,1.6056480407714844,5,14
10,60000,1.7584137916564941,5,15
11,65000,1.8880088329315186,5,16
12,70000,2.053654193878174,5,17
13,75000,2.2878804206848145,5,18
14,80000,2.5694940090179443,5,19
15,85000,2.6411099433898926,5,20
16,90000,2.966032028198242,5,21
17,95000,3.138340950012207,5,22
18,100000,3.1606101989746094,5,23
19,105000,3.434861898422241,5,24
20,110000,3.5634782314300537,5,25
21,115000,3.7910091876983643,5,26
22,120000,3.9385340213775635,5,27
23,125000,4.480680227279663,5,28
24,130000,4.492120742797852,5,29
25,135000,4.693558931350708,5,30
26,140000,4.9111008644104,5,31
27,145000,5.184301853179932,5,32
28,150000,5.4460508823394775,5,33
29,155000,5.905551910400391,5,34
30,160000,6.208627939224243,5,35
31,165000,6.3722028732299805,5,36
32,170000,7.080061912536621,5,37
33,175000,7.728135824203491,5,38
34,180000,7.050551891326904,5,39
35,185000,7.237684011459351,5,40
36,190000,7.641114711761475,5,41
37,195000,8.131728172302246,5,42
38,200000,8.346875190734863,5,43
39,205000,8.916415929794312,5,44
40,210000,8.796770095825195,5,45
41,215000,9.311702728271484,5,46
42,220000,10.205255031585693,5,47
43,225000,11.095541954040527,5,48
44,230000,12.049857139587402,5,49
45,235000,11.706253290176392,5,50
46,240000,11.814666986465454,5,51
47,245000,12.091348886489868,5,52
48,250000,12.399669885635376,5,53
49,255000,13.088490962982178,5,54
