,grow_factor,timing,k,i,j
0,1.2,2.141798257827759,10,1,0
1,1.2,1.9033641815185547,10,2,0
2,1.2,1.9132180213928223,10,3,0
3,1.2,1.915466070175171,10,4,0
4,1.2,1.949836254119873,10,5,0
5,1.2,2.0109851360321045,10,6,0
6,1.2,2.094655990600586,10,7,0
7,1.2,2.2227978706359863,10,8,0
8,1.2,2.3909778594970703,10,9,0
9,1.2,2.591982841491699,10,10,0
10,1.2,1.855891227722168,10,1,1
11,1.2,1.8628029823303223,10,2,1
12,1.2,1.9363529682159424,10,3,1
13,1.2,1.901177167892456,10,4,1
14,1.2,1.9840912818908691,10,5,1
15,1.2,2.0639901161193848,10,6,1
16,1.2,2.1833410263061523,10,7,1
17,1.2,2.221531867980957,10,8,1
18,1.2,2.357555866241455,10,9,1
19,1.2,2.5639700889587402,10,10,1
20,1.2,1.8423831462860107,10,1,2
21,1.2,1.9355289936065674,10,2,2
22,1.2,1.8890166282653809,10,3,2
23,1.2,1.887876033782959,10,4,2
24,1.2,1.9648981094360352,10,5,2
25,1.2,2.005446195602417,10,6,2
26,1.2,2.146182060241699,10,7,2
27,1.2,2.247117280960083,10,8,2
28,1.2,2.391556978225708,10,9,2
29,1.2,2.565778970718384,10,10,2
30,1.2,1.8390436172485352,10,1,3
31,1.2,1.8433480262756348,10,2,3
32,1.2,1.8882079124450684,10,3,3
33,1.2,1.9240260124206543,10,4,3
34,1.2,1.9529240131378174,10,5,3
35,1.2,2.005126953125,10,6,3
36,1.2,2.1380650997161865,10,7,3
37,1.2,2.2434959411621094,10,8,3
38,1.2,2.3683249950408936,10,9,3
39,1.2,2.586556911468506,10,10,3
40,1.2,1.9957427978515625,10,1,4
41,1.2,1.894378900527954,10,2,4
42,1.2,1.8797590732574463,10,3,4
43,1.2,1.8899681568145752,10,4,4
44,1.2,1.9369359016418457,10,5,4
45,1.2,2.015083074569702,10,6,4
46,1.2,2.295621871948242,10,7,4
47,1.2,2.211452007293701,10,8,4
48,1.2,2.3853707313537598,10,9,4
49,1.2,2.632204055786133,10,10,4
50,1.2,1.934438943862915,10,1,5
51,1.2,1.8627829551696777,10,2,5
52,1.2,1.8684918880462646,10,3,5
53,1.2,1.9053173065185547,10,4,5
54,1.2,1.9957160949707031,10,5,5
55,1.2,1.989145040512085,10,6,5
56,1.2,2.105386972427368,10,7,5
57,1.2,2.2001090049743652,10,8,5
58,1.2,2.370326042175293,10,9,5
59,1.2,2.569850206375122,10,10,5
60,1.2,1.8278629779815674,10,1,6
61,1.2,1.8293612003326416,10,2,6
62,1.2,1.8704819679260254,10,3,6
63,1.2,1.8842432498931885,10,4,6
64,1.2,1.9614651203155518,10,5,6
65,1.2,2.0636322498321533,10,6,6
66,1.2,2.134675979614258,10,7,6
67,1.2,2.2107479572296143,10,8,6
68,1.2,2.3699090480804443,10,9,6
69,1.2,2.5792768001556396,10,10,6
70,1.2,1.8682827949523926,10,1,7
71,1.2,1.8314523696899414,10,2,7
72,1.2,1.8661479949951172,10,3,7
73,1.2,1.8810019493103027,10,4,7
74,1.2,1.9675660133361816,10,5,7
75,1.2,1.9936339855194092,10,6,7
76,1.2,2.10657000541687,10,7,7
77,1.2,2.2294809818267822,10,8,7
78,1.2,2.439404010772705,10,9,7
79,1.2,2.78763484954834,10,10,7
80,1.2,1.9503428936004639,10,1,8
81,1.2,1.9828782081604004,10,2,8
82,1.2,1.8821711540222168,10,3,8
83,1.2,1.930811882019043,10,4,8
84,1.2,1.9359450340270996,10,5,8
85,1.2,2.0132858753204346,10,6,8
86,1.2,2.1100170612335205,10,7,8
87,1.2,2.2172160148620605,10,8,8
88,1.2,2.35315203666687,10,9,8
89,1.2,2.571976900100708,10,10,8
90,1.2,1.8355529308319092,10,1,9
91,1.2,1.860194206237793,10,2,9
92,1.2,1.8656766414642334,10,3,9
93,1.2,1.9831469058990479,10,4,9
94,1.2,1.944653034210205,10,5,9
95,1.2,2.0090689659118652,10,6,9
96,1.2,2.098599910736084,10,7,9
97,1.2,2.2320711612701416,10,8,9
98,1.2,2.3782289028167725,10,9,9
99,1.2,2.58551287651062,10,10,9
