,currentSize,timing,k,i,cp
0,25000,3.0910630226135254,10,1,6023
1,30000,2.7368829250335693,10,2,6010
2,35000,3.4255900382995605,10,3,7130
3,40000,4.307938098907471,10,4,8380
4,45000,5.248605012893677,10,5,9573
5,50000,5.989478826522827,10,6,10702
6,55000,7.02003288269043,10,7,11928
7,60000,8.137103080749512,10,8,13175
8,65000,9.271265029907227,10,9,14261
9,70000,10.433814764022827,10,10,15397
10,25000,2.6615638732910156,10,1,5857
11,30000,2.663733959197998,10,2,5900
12,35000,3.3660221099853516,10,3,7125
13,40000,4.142926931381226,10,4,8315
14,45000,5.108695983886719,10,5,9540
15,50000,5.983097791671753,10,6,10539
16,55000,6.95621395111084,10,7,11839
17,60000,8.071055173873901,10,8,13028
18,65000,9.300409078598022,10,9,14336
19,70000,10.576412916183472,10,10,15372
20,25000,2.6737890243530273,10,1,6028
21,30000,2.6826350688934326,10,2,5980
22,35000,3.450740098953247,10,3,7181
23,40000,4.1655590534210205,10,4,8324
24,45000,5.031612873077393,10,5,9486
25,50000,5.9415998458862305,10,6,10566
26,55000,7.174710035324097,10,7,11877
27,60000,8.229079961776733,10,8,13058
28,65000,9.446455001831055,10,9,14232
29,70000,10.388119220733643,10,10,15399
30,25000,2.6762449741363525,10,1,5865
31,30000,2.7726011276245117,10,2,6026
32,35000,3.465944766998291,10,3,7028
33,40000,4.092801094055176,10,4,8229
34,45000,5.0325868129730225,10,5,9578
35,50000,5.9357359409332275,10,6,10675
36,55000,7.039090156555176,10,7,11995
37,60000,8.055744171142578,10,8,12913
38,65000,9.502189874649048,10,9,14314
39,70000,10.464592933654785,10,10,15451
40,25000,2.668673038482666,10,1,5980
41,30000,2.6549088954925537,10,2,5929
42,35000,3.3261797428131104,10,3,7143
43,40000,4.1808130741119385,10,4,8520
44,45000,5.051578044891357,10,5,9477
45,50000,5.992917060852051,10,6,10674
46,55000,7.0700390338897705,10,7,11854
47,60000,7.965255260467529,10,8,13013
48,65000,9.250415086746216,10,9,14195
49,70000,10.234436988830566,10,10,15177
50,25000,2.7149229049682617,10,1,5867
51,30000,2.6677210330963135,10,2,6020
52,35000,3.3806440830230713,10,3,7303
53,40000,4.13730788230896,10,4,8454
54,45000,5.051408767700195,10,5,9612
55,50000,6.071919918060303,10,6,10723
56,55000,6.974877119064331,10,7,11983
57,60000,8.042961835861206,10,8,13095
58,65000,9.289414882659912,10,9,14284
59,70000,10.448220252990723,10,10,15616
60,25000,2.661569833755493,10,1,5942
61,30000,2.723764181137085,10,2,5846
62,35000,3.360527992248535,10,3,7099
63,40000,4.150375843048096,10,4,8262
64,45000,5.000084400177002,10,5,9506
65,50000,5.999689102172852,10,6,10892
66,55000,6.978754758834839,10,7,12064
67,60000,8.116056203842163,10,8,13100
68,65000,9.17062497138977,10,9,14361
69,70000,10.450714111328125,10,10,15404
70,25000,2.6585030555725098,10,1,5962
71,30000,2.676596164703369,10,2,6030
72,35000,3.3485512733459473,10,3,7115
73,40000,4.1332197189331055,10,4,8292
74,45000,5.004065036773682,10,5,9516
75,50000,6.245131969451904,10,6,10765
76,55000,6.907702684402466,10,7,11891
77,60000,8.12915587425232,10,8,13061
78,65000,9.276601076126099,10,9,14341
79,70000,10.465841054916382,10,10,15396
80,25000,2.711778163909912,10,1,5913
81,30000,2.7646868228912354,10,2,6104
82,35000,3.3823587894439697,10,3,7113
83,40000,4.145312070846558,10,4,8257
84,45000,5.252880811691284,10,5,9532
85,50000,5.980652093887329,10,6,10864
86,55000,7.074331998825073,10,7,12100
87,60000,8.07573390007019,10,8,13083
88,65000,9.256203889846802,10,9,14221
89,70000,10.58769416809082,10,10,15459
90,25000,2.6943962574005127,10,1,6196
91,30000,2.6528713703155518,10,2,5856
92,35000,3.3956189155578613,10,3,7147
93,40000,4.21772575378418,10,4,8309
94,45000,5.0009660720825195,10,5,9508
95,50000,6.025629997253418,10,6,10585
96,55000,7.166898250579834,10,7,11916
97,60000,8.283238887786865,10,8,13166
98,65000,9.31716513633728,10,9,14185
99,70000,10.498086214065552,10,10,15339
