,size,timing
0,500,2.0442118644714355
1,1000,0.8041479587554932
2,1500,0.8641669750213623
3,2000,0.943403959274292
4,2500,1.1784899234771729
5,3000,1.4379310607910156
6,3500,1.0584349632263184
7,4000,1.166916847229004
8,4500,1.1389670372009277
9,5000,1.216905117034912
10,5500,1.3850162029266357
11,6000,1.5280559062957764
12,6500,1.623335838317871
13,7000,1.896787166595459
14,7500,1.454010248184204
15,8000,1.4891548156738281
16,8500,1.3993451595306396
17,9000,1.4453520774841309
18,9500,1.6163878440856934
19,10000,1.7122957706451416
20,10500,1.555873155593872
21,11000,1.9878880977630615
22,11500,2.2405991554260254
23,12000,1.9103729724884033
24,12500,2.865304946899414
25,13000,2.339763879776001
26,13500,2.1637790203094482
27,14000,2.2845091819763184
28,14500,2.0909948348999023
29,15000,2.0791220664978027
30,15500,2.449671745300293
31,16000,2.272170066833496
32,16500,2.412306070327759
33,17000,3.471574068069458
34,17500,2.4369490146636963
35,18000,2.513864755630493
36,18500,2.9122612476348877
37,19000,2.46366810798645
38,19500,3.3150529861450195
39,20000,2.769646167755127
40,20500,3.257094144821167
41,21000,3.3732900619506836
42,21500,3.2755610942840576
43,22000,2.7149949073791504
44,22500,2.7205612659454346
45,23000,2.695002794265747
46,23500,3.3651931285858154
47,24000,2.889288902282715
48,24500,3.1019937992095947
49,25000,2.9085278511047363
