,size,timing,k
0,1000,0.0752720832824707,1
1,2000,0.09236788749694824,1
2,3000,0.09258699417114258,1
3,4000,0.0674278736114502,1
4,5000,0.09691715240478516,1
5,6000,0.09058117866516113,1
6,7000,0.08645296096801758,1
7,8000,0.0865330696105957,1
8,9000,0.11435413360595703,1
9,10000,0.09526395797729492,1
10,11000,0.10659480094909668,1
11,12000,0.11027812957763672,1
12,13000,0.13483119010925293,1
13,14000,0.12171792984008789,1
14,15000,0.13615798950195312,1
15,16000,0.15465021133422852,1
16,17000,0.16502714157104492,1
17,18000,0.14715290069580078,1
18,19000,0.1617429256439209,1
19,20000,0.16204309463500977,1
20,21000,0.18257403373718262,1
21,22000,0.17526721954345703,1
22,23000,0.17761898040771484,1
23,24000,0.19359302520751953,1
24,25000,0.21608495712280273,1
25,26000,0.1933448314666748,1
26,27000,0.215562105178833,1
27,28000,0.22183918952941895,1
28,29000,0.22104191780090332,1
29,30000,0.22405600547790527,1
30,31000,0.23361682891845703,1
31,32000,0.2436380386352539,1
32,33000,0.25002408027648926,1
33,34000,0.2509748935699463,1
34,35000,0.25102806091308594,1
35,36000,0.26604413986206055,1
36,37000,0.2713348865509033,1
37,38000,0.2808382511138916,1
38,39000,0.28895115852355957,1
39,40000,0.3009910583496094,1
40,41000,0.3120689392089844,1
41,42000,0.2995948791503906,1
42,43000,0.31319594383239746,1
43,44000,0.3157541751861572,1
44,45000,0.32778286933898926,1
45,46000,0.34127116203308105,1
46,47000,0.36245203018188477,1
47,48000,0.3450789451599121,1
48,49000,0.35341787338256836,1
49,50000,0.3900301456451416,1
50,51000,0.3815429210662842,1
51,52000,0.3756387233734131,1
52,53000,0.3957498073577881,1
53,54000,0.40273094177246094,1
54,55000,0.4451878070831299,1
55,56000,0.4054450988769531,1
56,57000,0.4146411418914795,1
57,58000,0.4304819107055664,1
58,59000,0.4446580410003662,1
59,60000,0.43872785568237305,1
60,61000,0.44300389289855957,1
61,62000,0.48260498046875,1
62,63000,0.47092199325561523,1
63,64000,0.49625396728515625,1
64,65000,0.47123098373413086,1
65,66000,0.4872400760650635,1
66,67000,0.4820740222930908,1
67,68000,0.49831390380859375,1
68,69000,0.5139689445495605,1
69,70000,0.5092809200286865,1
70,71000,0.5200686454772949,1
71,72000,0.5437130928039551,1
