,size,timing,k
0,1000,0.26325392723083496,1
1,2000,0.34076595306396484,1
2,3000,0.3913249969482422,1
3,4000,0.46364498138427734,1
4,5000,0.47424793243408203,1
5,6000,0.4532310962677002,1
6,7000,0.5045778751373291,1
7,8000,0.4804251194000244,1
8,9000,0.4920659065246582,1
9,10000,0.5226750373840332,1
10,11000,0.5873551368713379,1
11,12000,0.5683999061584473,1
12,13000,0.5939719676971436,1
13,14000,0.6283798217773438,1
14,15000,0.6310441493988037,1
15,16000,0.682858943939209,1
16,17000,0.821181058883667,1
17,18000,0.7855291366577148,1
18,19000,0.7395808696746826,1
19,20000,0.8269329071044922,1
20,21000,0.7877118587493896,1
21,22000,0.7919571399688721,1
22,23000,0.7670929431915283,1
23,24000,0.7876789569854736,1
24,25000,0.8074681758880615,1
25,26000,0.8170731067657471,1
26,27000,0.8260278701782227,1
27,28000,0.9115569591522217,1
28,29000,1.4261250495910645,1
29,30000,1.4417219161987305,1
30,31000,1.0828421115875244,1
31,32000,0.9193239212036133,1
32,33000,0.9560749530792236,1
33,34000,0.9880387783050537,1
34,35000,1.0122575759887695,1
35,36000,1.0495202541351318,1
36,37000,1.0232019424438477,1
37,38000,1.0327439308166504,1
38,39000,1.0596652030944824,1
39,40000,1.044173240661621,1
40,41000,1.1619081497192383,1
41,42000,1.2908999919891357,1
42,43000,1.181765079498291,1
43,44000,1.053131103515625,1
44,45000,1.3209280967712402,1
45,46000,1.3048338890075684,1
46,47000,1.178400993347168,1
47,48000,1.2703850269317627,1
48,49000,1.200646162033081,1
49,50000,1.1719160079956055,1
50,51000,1.1597161293029785,1
51,52000,1.12491774559021,1
52,53000,1.1724951267242432,1
53,54000,1.1395227909088135,1
54,55000,1.175550937652588,1
55,56000,1.4716229438781738,1
56,57000,1.2125277519226074,1
57,58000,1.2267472743988037,1
58,59000,1.2305207252502441,1
59,60000,1.2578380107879639,1
60,61000,1.4990429878234863,1
61,62000,1.2724132537841797,1
62,63000,1.2759242057800293,1
63,64000,1.3460078239440918,1
64,65000,1.2955801486968994,1
65,66000,1.3995909690856934,1
66,67000,1.3374779224395752,1
67,68000,1.3116559982299805,1
68,69000,1.330575942993164,1
69,70000,1.3452811241149902,1
70,71000,1.4803850650787354,1
71,72000,1.3859341144561768,1
72,73000,1.4008440971374512,1
73,74000,1.3932902812957764,1
74,75000,1.5177981853485107,1
75,76000,1.653649091720581,1
76,77000,1.8046221733093262,1
77,78000,1.4889380931854248,1
78,79000,1.4962000846862793,1
